epoch,total,loss_f,loss_ic,loss_bc,lambda_f,lambda_ic,lambda_bc,n_f
77,0.9031180739402771,0.16082260012626648,0.10612903535366058,0.6361664533615112,1.0,1.0,1.0,2000
78,0.9023987054824829,0.1628844141960144,0.10587409138679504,0.6336401700973511,1.0,1.0,1.0,2000
79,0.9016852378845215,0.16440635919570923,0.10579832643270493,0.6314805746078491,1.0,1.0,1.0,2000
80,0.9010303020477295,0.16478031873703003,0.10583098232746124,0.6304190158843994,1.0,1.0,1.0,2000
81,0.9003495573997498,0.16467082500457764,0.10579150915145874,0.6298872232437134,1.0,1.0,1.0,2000
82,0.8996357917785645,0.1652892678976059,0.10556227713823318,0.6287842392921448,1.0,1.0,1.0,2000
83,0.8989744186401367,0.16702044010162354,0.10521307587623596,0.6267409324645996,1.0,1.0,1.0,2000
84,0.8983340263366699,0.16895495355129242,0.10493350774049759,0.6244455575942993,1.0,1.0,1.0,2000
85,0.8976541757583618,0.17005249857902527,0.10484223812818527,0.6227594614028931,1.0,1.0,1.0,2000
86,0.8970067501068115,0.17043963074684143,0.10486097633838654,0.6217061281204224,1.0,1.0,1.0,2000
87,0.8963953852653503,0.17108644545078278,0.10478412359952927,0.6205248236656189,1.0,1.0,1.0,2000
88,0.8957509398460388,0.1725180447101593,0.10449735820293427,0.6187355518341064,1.0,1.0,1.0,2000
89,0.8951213359832764,0.17420348525047302,0.10410396009683609,0.6168138980865479,1.0,1.0,1.0,2000
90,0.8945241570472717,0.17520155012607574,0.10379862785339355,0.6155239939689636,1.0,1.0,1.0,2000
91,0.8939096927642822,0.17541906237602234,0.10364982485771179,0.6148408055305481,1.0,1.0,1.0,2000
92,0.8933000564575195,0.17578624188899994,0.10354737192392349,0.6139664649963379,1.0,1.0,1.0,2000
93,0.8927143812179565,0.1769217550754547,0.1033521369099617,0.6124404668807983,1.0,1.0,1.0,2000
94,0.8921242356300354,0.1782270073890686,0.10305869579315186,0.6108385324478149,1.0,1.0,1.0,2000
95,0.8915277719497681,0.17873108386993408,0.1027776226401329,0.6100190281867981,1.0,1.0,1.0,2000
96,0.8909494876861572,0.17847947776317596,0.10258123278617859,0.6098887920379639,1.0,1.0,1.0,2000
97,0.890372097492218,0.1784595102071762,0.10243520140647888,0.6094774007797241,1.0,1.0,1.0,2000
98,0.8897851705551147,0.17919449508190155,0.10228852182626724,0.608302116394043,1.0,1.0,1.0,2000
99,0.8892146348953247,0.1800113469362259,0.10215406864881516,0.6070492267608643,1.0,1.0,1.0,2000
100,0.8886412382125854,0.18004120886325836,0.10205686837434769,0.6065431833267212,1.0,1.0,1.0,2000
101,0.8880612850189209,0.17956234514713287,0.10196234285831451,0.6065366268157959,1.0,1.0,1.0,2000
102,0.8874922394752502,0.17953844368457794,0.10182568430900574,0.6061280965805054,1.0,1.0,1.0,2000
103,0.8869223594665527,0.18011042475700378,0.10168533027172089,0.6051266193389893,1.0,1.0,1.0,2000
104,0.8863494992256165,0.1804882287979126,0.10162366926670074,0.6042376160621643,1.0,1.0,1.0,2000
105,0.8857834935188293,0.18031084537506104,0.10162796080112457,0.6038447022438049,1.0,1.0,1.0,2000
106,0.8852171897888184,0.18020565807819366,0.10158071666955948,0.6034308075904846,1.0,1.0,1.0,2000
107,0.8846452236175537,0.18066821992397308,0.10142778605222702,0.6025492548942566,1.0,1.0,1.0,2000
108,0.8840795159339905,0.1812368780374527,0.10126309841871262,0.6015795469284058,1.0,1.0,1.0,2000
109,0.8835095763206482,0.18137897551059723,0.10118262469768524,0.6009479761123657,1.0,1.0,1.0,2000
110,0.8829373121261597,0.18149176239967346,0.10114164650440216,0.6003038883209229,1.0,1.0,1.0,2000
111,0.8823667764663696,0.1821407526731491,0.10103939473628998,0.5991865992546082,1.0,1.0,1.0,2000
112,0.881791353225708,0.18297724425792694,0.10087810456752777,0.5979359745979309,1.0,1.0,1.0,2000
113,0.8812129497528076,0.1833934485912323,0.10073547810316086,0.5970839858055115,1.0,1.0,1.0,2000
114,0.8806348443031311,0.18367567658424377,0.10062889754772186,0.5963302850723267,1.0,1.0,1.0,2000
115,0.880050539970398,0.18444015085697174,0.10052110254764557,0.595089316368103,1.0,1.0,1.0,2000
116,0.8794646263122559,0.18544194102287292,0.10041745752096176,0.5936052203178406,1.0,1.0,1.0,2000
117,0.8788750171661377,0.18605512380599976,0.10034232586622238,0.592477560043335,1.0,1.0,1.0,2000
118,0.8782790899276733,0.1864842176437378,0.10026414692401886,0.5915307402610779,1.0,1.0,1.0,2000
119,0.8776801824569702,0.18729059398174286,0.10015574842691422,0.5902338027954102,1.0,1.0,1.0,2000
120,0.8770754337310791,0.1882423758506775,0.10007180273532867,0.5887612700462341,1.0,1.0,1.0,2000
121,0.8764647841453552,0.1888546496629715,0.10005496442317963,0.5875551700592041,1.0,1.0,1.0,2000
122,0.8758498430252075,0.18940450251102448,0.10004045069217682,0.5864049196243286,1.0,1.0,1.0,2000
123,0.875226616859436,0.19026541709899902,0.0999675840139389,0.5849936008453369,1.0,1.0,1.0,2000
124,0.8745975494384766,0.19108060002326965,0.09989058971405029,0.583626389503479,1.0,1.0,1.0,2000
125,0.8739611506462097,0.1915910392999649,0.09986609220504761,0.5825040340423584,1.0,1.0,1.0,2000
126,0.8733165264129639,0.19223077595233917,0.09985091537237167,0.5812348127365112,1.0,1.0,1.0,2000
127,0.8726644515991211,0.1931207776069641,0.0998033657670021,0.5797402858734131,1.0,1.0,1.0,2000
128,0.872002363204956,0.19378598034381866,0.09975308179855347,0.5784633159637451,1.0,1.0,1.0,2000
129,0.8713318109512329,0.19426663219928741,0.09971513599157333,0.5773500204086304,1.0,1.0,1.0,2000
130,0.870651125907898,0.19501639902591705,0.09967371076345444,0.5759609937667847,1.0,1.0,1.0,2000
131,0.8699601292610168,0.19584065675735474,0.09964895993471146,0.5744705200195312,1.0,1.0,1.0,2000
132,0.869258463382721,0.19640037417411804,0.09964893013238907,0.5732091665267944,1.0,1.0,1.0,2000
133,0.8685445785522461,0.19702692329883575,0.0996289923787117,0.5718886852264404,1.0,1.0,1.0,2000
134,0.8678188323974609,0.1978771835565567,0.09959530085325241,0.5703463554382324,1.0,1.0,1.0,2000
135,0.8670796751976013,0.198581725358963,0.09960576146841049,0.5688921809196472,1.0,1.0,1.0,2000
136,0.866327166557312,0.19923001527786255,0.09963789582252502,0.5674592852592468,1.0,1.0,1.0,2000
137,0.8655598163604736,0.2001204788684845,0.09963466972112656,0.565804660320282,1.0,1.0,1.0,2000
138,0.8647769689559937,0.20097535848617554,0.0996256172657013,0.5641760230064392,1.0,1.0,1.0,2000
