num_train,depth,width,activation,seed,steps,lr,device,train_mse,test_mse,test_mae,test_max_abs,elapsed_sec
10,2,20,tanh,1234,3000,0.001,cpu,5.6271332141477615e-05,0.109089694917202,0.1989663988351822,0.8423614501953125,0.8651446230001056
10,2,20,tanh,2024,3000,0.001,cpu,5.1278271712362766e-05,0.003299150848761201,0.04260380566120148,0.13263946771621704,0.870409890000019
10,2,20,tanh,3407,3000,0.001,cpu,0.005292058922350407,0.22547626495361328,0.26586467027664185,1.4853631258010864,0.8604292219999934
20,2,20,tanh,1234,3000,0.001,cpu,5.737990068155341e-05,0.0018543017795309424,0.028747688978910446,0.10480999946594238,0.8717677140000433
20,2,20,tanh,2024,3000,0.001,cpu,0.00012747806613333523,0.003145334543660283,0.03596728295087814,0.16951236128807068,0.8775802210000165
20,2,20,tanh,3407,3000,0.001,cpu,4.7549961891490966e-05,0.001298793707974255,0.021537158638238907,0.18173307180404663,0.8717138119998253
30,2,20,tanh,1234,3000,0.001,cpu,5.2446215704549104e-05,7.936902693472803e-05,0.006392786279320717,0.04338909313082695,0.8781068050000158
30,2,20,tanh,2024,3000,0.001,cpu,0.00011997795081697404,0.00028003702755086124,0.010753432288765907,0.09956910461187363,0.8836152540000057
30,2,20,tanh,3407,3000,0.001,cpu,4.855848237639293e-05,0.0001293803652515635,0.008355681784451008,0.03389836102724075,0.9038119009999264
50,2,20,tanh,1234,3000,0.001,cpu,4.8064495786093175e-05,0.00019211170729249716,0.008505318313837051,0.07873231917619705,0.9035310469998876
50,2,20,tanh,2024,3000,0.001,cpu,0.00027367411530576646,0.00026739275199361145,0.012293784879148006,0.07125338166952133,0.9057737990001442
50,2,20,tanh,3407,3000,0.001,cpu,5.127604890731163e-05,8.175028051482514e-05,0.006978975608944893,0.03834028169512749,0.900088224000001
80,2,20,tanh,1234,3000,0.001,cpu,6.138625758467242e-05,6.384651351254433e-05,0.005977881606668234,0.03413901478052139,0.8987200849999226
80,2,20,tanh,2024,3000,0.001,cpu,0.00010547808051342145,0.00014646332419943064,0.00977149698883295,0.03385012596845627,0.9141162720000011
80,2,20,tanh,3407,3000,0.001,cpu,6.434445094782859e-05,0.00012820542906410992,0.00822578277438879,0.05565937981009483,0.8974280009999802
50,1,10,tanh,1234,3000,0.001,cpu,0.02444901317358017,0.0245735514909029,0.1410626322031021,0.26414409279823303,0.668183092000163
50,1,10,tanh,2024,3000,0.001,cpu,0.0292685404419899,0.036918316036462784,0.16142117977142334,0.40175536274909973,0.6630098939999698
50,1,10,tanh,3407,3000,0.001,cpu,0.01544579491019249,0.018267640843987465,0.11829189211130142,0.2399519681930542,0.6583271090000835
50,1,20,tanh,1234,3000,0.001,cpu,0.010531306266784668,0.015376253053545952,0.10452412068843842,0.35734590888023376,0.6757474600001387
50,1,20,tanh,2024,3000,0.001,cpu,0.015568193048238754,0.017325934022665024,0.1152990385890007,0.24562326073646545,0.678011989999959
50,1,20,tanh,3407,3000,0.001,cpu,0.013748147524893284,0.016135897487401962,0.11184845119714737,0.2149176001548767,0.6824028149999322
50,1,40,tanh,1234,3000,0.001,cpu,0.012648528441786766,0.018497124314308167,0.11358926445245743,0.42921182513237,0.6849556940001094
50,1,40,tanh,2024,3000,0.001,cpu,0.014609938487410545,0.016629086807370186,0.11123647540807724,0.25504860281944275,0.677559846000122
50,1,40,tanh,3407,3000,0.001,cpu,0.00920852366834879,0.010723640210926533,0.0911254808306694,0.27391088008880615,0.6688321310000447
50,1,80,tanh,1234,3000,0.001,cpu,0.013372871093451977,0.017719760537147522,0.11269310116767883,0.2805696427822113,0.8129903379999632
50,1,80,tanh,2024,3000,0.001,cpu,0.00945927482098341,0.010945698246359825,0.08887603133916855,0.24533310532569885,0.7766827309999371
50,1,80,tanh,3407,3000,0.001,cpu,0.013426916673779488,0.0154957864433527,0.10952261835336685,0.25445738434791565,0.7917237189999469
50,2,10,tanh,1234,3000,0.001,cpu,0.00042333774035796523,0.0007257030811160803,0.021735206246376038,0.11017587035894394,0.8746109969999907
