activation,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,test_mae_mean,test_mae_std,test_max_abs_mean,test_max_abs_std,elapsed_sec_mean,elapsed_sec_std
gelu,6.504204066004604e-05,2.808784668131336e-05,0.00012929871202989793,1.97192902612946e-05,0.008744498870025078,0.0008885656282016476,0.043202501411239304,0.02027297954406667,1.4275208970000222,0.018721789920094198
relu,0.000440332674770616,0.0004539342085470105,0.0006978096595654885,0.0003967312150056375,0.015458942390978336,0.005270510547998732,0.10383147746324539,0.05398231998589618,0.9110309176666457,0.007193664482486365
silu,0.0007095333809653918,0.0003011069366167476,0.001193093815042327,0.0001719176093935764,0.02480871044099331,0.0020738079898988326,0.15346812456846237,0.05211271454234361,0.9040540979999605,0.0013385533628130703
tanh,0.00012433821999972375,0.00010560456346991075,0.00018041824660031125,7.623793706289003e-05,0.009259359600643316,0.0022343131817653458,0.0627753275136153,0.017545886976171727,0.9073408533333046,0.0032419438624629584
