experiment,sampling,weight_mode,adaptive_points,epochs,n_f_initial,n_f_final,pde_residual_mse,ic_mse,bc_mse,relative_l2_error,elapsed_sec,device
uniform_equal,uniform,equal_weights,False,1500,2000,2000,0.02061322145164013,0.03406388312578201,0.009338023141026497,1.2631677389144897,18.290849539996998,cpu
random_equal,random,equal_weights,False,1500,2000,2000,0.03329893946647644,0.0423264279961586,0.011537531390786171,1.2755537033081055,16.185872715002915,cpu
random_adaptive_points,random,equal_weights,True,1500,2000,2800,0.013352069072425365,0.05090400204062462,0.013142568990588188,1.29151451587677,18.850619108998217,cpu
random_adaptive_weights,random,adaptive_weights,False,1500,2000,2000,0.022236742079257965,0.03740478307008743,0.013626612722873688,1.276100993156433,17.125013375996787,cpu
