model,relative_l2_mean,relative_l2_std,mse,u_relative_l2_mean,u_mse,v_relative_l2_mean,v_mse,parameters,best_model
DeepONet,0.09011111408472061,0.011357514187693596,0.0003023211320396513,0.08830481767654419,0.0003346895391587168,0.09256283193826675,0.0002699526958167553,124418,/home/xuanli/work/SciML-Course/Codes/Neural_Operator/third_assignment/outputs/models/deeponet_best.pt
FNO,0.014212971553206444,0.0030287632253021,7.664367331017274e-06,0.013392945751547813,7.982220267876983e-06,0.015282628126442432,7.346514394157566e-06,668642,/home/xuanli/work/SciML-Course/Codes/Neural_Operator/third_assignment/outputs/models/fno_best.pt
