model,epoch,train_mse,test_relative_l2,test_mse
DeepONet,1,0.9996209144592285,1.0010017156600952,0.036758288741111755
DeepONet,2,0.9806798279285431,,
DeepONet,3,0.8670612692832946,,
DeepONet,4,0.6156983375549316,,
DeepONet,5,0.5250688344240189,,
DeepONet,6,0.5059128165245056,,
DeepONet,7,0.4950275421142578,,
DeepONet,8,0.4879604607820511,,
DeepONet,9,0.47732574939727784,,
DeepONet,10,0.45596638023853303,,
DeepONet,11,0.41334621906280516,,
DeepONet,12,0.36080237925052644,,
DeepONet,13,0.3527380615472794,,
DeepONet,14,0.34297366738319396,,
DeepONet,15,0.331900829076767,,
DeepONet,16,0.3033215910196304,,
DeepONet,17,0.25639116317033767,,
DeepONet,18,0.21740292459726335,,
DeepONet,19,0.18703839927911758,,
DeepONet,20,0.1714497461915016,,
DeepONet,21,0.1591586798429489,,
DeepONet,22,0.15226703882217407,,
DeepONet,23,0.14604809880256653,,
DeepONet,24,0.1426946699619293,,
DeepONet,25,0.1405874267220497,0.37299615144729614,0.005110522266477346
DeepONet,26,0.13877758979797364,,
DeepONet,27,0.13664917796850204,,
DeepONet,28,0.13471585959196092,,
DeepONet,29,0.13443013280630112,,
DeepONet,30,0.1340527907013893,,
DeepONet,31,0.13741409927606582,,
DeepONet,32,0.13400912135839463,,
DeepONet,33,0.13388694375753402,,
DeepONet,34,0.1280122682452202,,
DeepONet,35,0.12558601945638656,,
DeepONet,36,0.123276087641716,,
DeepONet,37,0.12173203751444817,,
DeepONet,38,0.12044727578759193,,
DeepONet,39,0.11673959121108055,,
DeepONet,40,0.114425528049469,,
DeepONet,41,0.11147817745804786,,
DeepONet,42,0.11260743215680122,,
DeepONet,43,0.10845618769526481,,
DeepONet,44,0.10660155415534973,,
DeepONet,45,0.10224438384175301,,
DeepONet,46,0.10104692876338958,,
DeepONet,47,0.10125589296221733,,
DeepONet,48,0.09715414717793465,,
DeepONet,49,0.09873108565807343,,
DeepONet,50,0.09365573674440383,0.29691243171691895,0.0032502824906259775
DeepONet,51,0.09952619150280953,,
DeepONet,52,0.0994563139975071,,
DeepONet,53,0.09711291342973709,,
DeepONet,54,0.09012503996491432,,
DeepONet,55,0.08620131611824036,,
DeepONet,56,0.08630027770996093,,
DeepONet,57,0.08513647243380547,,
DeepONet,58,0.08042284771800041,,
DeepONet,59,0.07862553969025612,,
DeepONet,60,0.08194277659058571,,
DeepONet,61,0.07751135975122452,,
DeepONet,62,0.07619140073657035,,
DeepONet,63,0.07972586825489998,,
DeepONet,64,0.07594111859798432,,
DeepONet,65,0.07597245201468468,,
DeepONet,66,0.07731421068310737,,
DeepONet,67,0.07704475522041321,,
DeepONet,68,0.07526278644800186,,
DeepONet,69,0.07111563012003899,,
DeepONet,70,0.06740181893110275,,
DeepONet,71,0.07012981548905373,,
DeepONet,72,0.06669644303619862,,
DeepONet,73,0.06531366668641567,,
DeepONet,74,0.06797806173563004,,
DeepONet,75,0.06416755579411984,0.2360564023256302,0.0020648553036153316
DeepONet,76,0.06222122497856617,,
DeepONet,77,0.0606593944132328,,
DeepONet,78,0.05995557382702828,,
DeepONet,79,0.07573248855769635,,
DeepONet,80,0.06402505077421665,,
DeepONet,81,0.05684480667114258,,
DeepONet,82,0.05412698574364185,,
DeepONet,83,0.0526941142976284,,
DeepONet,84,0.05141453482210636,,
DeepONet,85,0.04945603869855404,,
DeepONet,86,0.05879679508507252,,
DeepONet,87,0.06869057640433311,,
DeepONet,88,0.052035273611545564,,
DeepONet,89,0.0544278621673584,,
DeepONet,90,0.05155416987836361,,
DeepONet,91,0.049375849217176436,,
DeepONet,92,0.04969936348497868,,
DeepONet,93,0.047833822295069696,,
DeepONet,94,0.05366026386618614,,
DeepONet,95,0.046538610383868216,,
DeepONet,96,0.045765960961580275,,
DeepONet,97,0.04348129555583,,
DeepONet,98,0.043593821302056315,,
DeepONet,99,0.059160429239273074,,
DeepONet,100,0.048023196309804915,0.1963385045528412,0.0014314589789137244
DeepONet,101,0.04304749965667724,,
DeepONet,102,0.04144452810287476,,
DeepONet,103,0.04043342545628548,,
DeepONet,104,0.04520351439714432,,
DeepONet,105,0.08102639950811863,,
DeepONet,106,0.07032606974244118,,
DeepONet,107,0.06370162069797516,,
DeepONet,108,0.05178700871765614,,
DeepONet,109,0.045828478410840034,,
DeepONet,110,0.043301410600543024,,
DeepONet,111,0.040722130611538884,,
DeepONet,112,0.03903011493384838,,
DeepONet,113,0.038166676089167594,,
DeepONet,114,0.04036279059946537,,
DeepONet,115,0.04905708469450474,,
DeepONet,116,0.04929033890366554,,
DeepONet,117,0.043258148804306985,,
DeepONet,118,0.038984771445393564,,
DeepONet,119,0.03671821430325508,,
DeepONet,120,0.035374854877591136,,
DeepONet,121,0.03444647826254368,,
DeepONet,122,0.03328152485191822,,
DeepONet,123,0.03307125065475702,,
DeepONet,124,0.03435391671955586,,
DeepONet,125,0.03355663176625967,0.17699012160301208,0.0011605810141190886
DeepONet,126,0.03296544626355171,,
DeepONet,127,0.033116993866860865,,
DeepONet,128,0.05153039209544659,,
DeepONet,129,0.05400106869637966,,
DeepONet,130,0.054320572316646575,,
DeepONet,131,0.037583905085921285,,
DeepONet,132,0.03648966979235411,,
DeepONet,133,0.035454961471259594,,
DeepONet,134,0.035043325088918206,,
DeepONet,135,0.03197515942156315,,
DeepONet,136,0.031120608933269976,,
DeepONet,137,0.030214084312319756,,
DeepONet,138,0.029736165702342988,,
DeepONet,139,0.02887612357735634,,
DeepONet,140,0.028047085739672184,,
DeepONet,141,0.02766773048788309,,
DeepONet,142,0.027131037786602974,,
DeepONet,143,0.02700108028948307,,
DeepONet,144,0.033139319904148576,,
DeepONet,145,0.044033265113830565,,
DeepONet,146,0.03238930720835924,,
DeepONet,147,0.032298847660422327,,
DeepONet,148,0.029461232572793962,,
DeepONet,149,0.02836651969701052,,
DeepONet,150,0.029797995649278163,0.17924174666404724,0.001181858591735363
DeepONet,151,0.03209366668015719,,
DeepONet,152,0.032667611911892894,,
DeepONet,153,0.03882559295743704,,
DeepONet,154,0.03314905371516943,,
DeepONet,155,0.0321985037997365,,
DeepONet,156,0.02976722698658705,,
DeepONet,157,0.02655923366546631,,
DeepONet,158,0.02460606973618269,,
DeepONet,159,0.02390755880624056,,
DeepONet,160,0.024325145222246648,,
DeepONet,161,0.023858620785176754,,
DeepONet,162,0.02283412143588066,,
DeepONet,163,0.022588033974170686,,
DeepONet,164,0.02384407352656126,,
DeepONet,165,0.023934762366116046,,
DeepONet,166,0.02953018303960562,,
DeepONet,167,0.023274605721235277,,
DeepONet,168,0.022366144880652427,,
DeepONet,169,0.021682414039969445,,
DeepONet,170,0.022459688223898412,,
DeepONet,171,0.021070006303489208,,
DeepONet,172,0.021365612745285034,,
DeepONet,173,0.021449842490255833,,
DeepONet,174,0.04105181600898504,,
DeepONet,175,0.04064126703888178,0.2061861753463745,0.0015983382472768426
DeepONet,176,0.04562611747533083,,
DeepONet,177,0.03019563723355532,,
DeepONet,178,0.025719491019845008,,
DeepONet,179,0.02294955849647522,,
DeepONet,180,0.021832598187029362,,
DeepONet,181,0.020727687887847422,,
DeepONet,182,0.019970151595771313,,
DeepONet,183,0.01982938926666975,,
DeepONet,184,0.019417656399309636,,
DeepONet,185,0.01941570220515132,,
DeepONet,186,0.018735767155885697,,
DeepONet,187,0.018437723629176617,,
DeepONet,188,0.018820657022297384,,
DeepONet,189,0.04079582840204239,,
DeepONet,190,0.0629098504781723,,
DeepONet,191,0.044698236882686614,,
DeepONet,192,0.03191909547895193,,
DeepONet,193,0.024496056698262693,,
DeepONet,194,0.02168698199093342,,
DeepONet,195,0.021222760528326036,,
DeepONet,196,0.019302232004702092,,
DeepONet,197,0.01850317232310772,,
DeepONet,198,0.017940064240247012,,
DeepONet,199,0.01750757694244385,,
DeepONet,200,0.01730672297999263,0.12707063555717468,0.0005993629456497729
DeepONet,201,0.0172924661077559,,
DeepONet,202,0.01705564521253109,,
DeepONet,203,0.017330987937748434,,
DeepONet,204,0.017088040243834257,,
DeepONet,205,0.017116682045161723,,
DeepONet,206,0.016566781979054212,,
DeepONet,207,0.016134305484592916,,
DeepONet,208,0.0162387459538877,,
DeepONet,209,0.01684224158525467,,
DeepONet,210,0.02006964907050133,,
DeepONet,211,0.02119259787723422,,
DeepONet,212,0.017074548080563544,,
DeepONet,213,0.01647273888811469,,
DeepONet,214,0.020166118256747724,,
DeepONet,215,0.0205745997838676,,
DeepONet,216,0.018797495122998952,,
DeepONet,217,0.01639233035966754,,
DeepONet,218,0.01599719198420644,,
DeepONet,219,0.016632444970309735,,
DeepONet,220,0.01614847220480442,,
DeepONet,221,0.016592924296855927,,
DeepONet,222,0.01607242627069354,,
DeepONet,223,0.01599583961069584,,
DeepONet,224,0.015115251392126083,,
DeepONet,225,0.01490489048883319,0.11728028208017349,0.0005125896423123777
DeepONet,226,0.014584288094192743,,
DeepONet,227,0.016249703522771598,,
DeepONet,228,0.01793949445709586,,
DeepONet,229,0.016105327010154723,,
DeepONet,230,0.014519849698990584,,
DeepONet,231,0.015070937480777502,,
DeepONet,232,0.018732236977666617,,
DeepONet,233,0.017989734187722206,,
DeepONet,234,0.015099775791168214,,
DeepONet,235,0.0142948554828763,,
DeepONet,236,0.014482254814356565,,
DeepONet,237,0.015759831573814154,,
DeepONet,238,0.016070844046771525,,
DeepONet,239,0.01599475285038352,,
DeepONet,240,0.022606882452964782,,
DeepONet,241,0.020672682486474515,,
DeepONet,242,0.027920357324182986,,
DeepONet,243,0.0231318274512887,,
DeepONet,244,0.0177778160199523,,
DeepONet,245,0.016507485788315533,,
DeepONet,246,0.015473029389977456,,
DeepONet,247,0.01480242284014821,,
DeepONet,248,0.01445966949686408,,
DeepONet,249,0.013462425302714109,,
DeepONet,250,0.012709100358188152,0.10704459249973297,0.00042621983448043466
DeepONet,251,0.012571458145976067,,
DeepONet,252,0.012475196830928325,,
DeepONet,253,0.012562010157853364,,
DeepONet,254,0.012484003975987434,,
DeepONet,255,0.012747097760438919,,
DeepONet,256,0.01313169877976179,,
DeepONet,257,0.013242884445935488,,
DeepONet,258,0.012986285984516144,,
DeepONet,259,0.018337580282241105,,
DeepONet,260,0.03447297932580114,,
DeepONet,261,0.04923617914319038,,
DeepONet,262,0.023397318832576276,,
