epoch,total,loss_f,loss_ic,loss_bc,lambda_f,lambda_ic,lambda_bc,n_f
1,1.433741807937622,0.570900022983551,0.1335836946964264,0.729258120059967,1.0,1.0,1.0,2000
2,1.1685640811920166,0.2024163007736206,0.1516990214586258,0.8144487738609314,1.0,1.0,1.0,2000
3,1.2329778671264648,0.11812657862901688,0.16760684549808502,0.94724440574646,1.0,1.0,1.0,2000
4,1.1834232807159424,0.03895018622279167,0.15819650888442993,0.9862766265869141,1.0,1.0,1.0,2000
5,1.129293441772461,0.010582341812551022,0.145174041390419,0.9735370874404907,1.0,1.0,1.0,2000
6,1.1152634620666504,0.048019666224718094,0.1357576698064804,0.9314861297607422,1.0,1.0,1.0,2000
7,1.098065733909607,0.09250620752573013,0.12918801605701447,0.8763715028762817,1.0,1.0,1.0,2000
8,1.0841479301452637,0.1321072280406952,0.12511666119098663,0.8269240856170654,1.0,1.0,1.0,2000
9,1.0881410837173462,0.16555733978748322,0.12394662201404572,0.7986371517181396,1.0,1.0,1.0,2000
10,1.1719837188720703,0.1743655800819397,0.12468768656253815,0.7962249517440796,0.9477592570968345,0.9341523325678803,1.1180884103352853,2000
11,1.1693153381347656,0.15567712485790253,0.12528260052204132,0.8091827630996704,0.9477592570968345,0.9341523325678803,1.1180884103352853,2000
12,1.1535570621490479,0.11446790397167206,0.12475643306970596,0.8304598331451416,0.9477592570968345,0.9341523325678803,1.1180884103352853,2000
13,1.138612985610962,0.0724501758813858,0.12338803708553314,0.853854238986969,0.9477592570968345,0.9341523325678803,1.1180884103352853,2000
14,1.1373275518417358,0.04942530766129494,0.12197660654783249,0.8734010457992554,0.9477592570968345,0.9341523325678803,1.1180884103352853,2000
15,1.1441383361816406,0.04632902890443802,0.12101741880178452,0.8829184174537659,0.9477592570968345,0.9341523325678803,1.1180884103352853,2000
16,1.1430988311767578,0.050558701157569885,0.1205187737941742,0.87882000207901,0.9477592570968345,0.9341523325678803,1.1180884103352853,2000
17,1.1295183897018433,0.05566513165831566,0.12039902061223984,0.8624454736709595,0.9477592570968345,0.9341523325678803,1.1180884103352853,2000
18,1.1132696866989136,0.0662415623664856,0.12070897221565247,0.8386887311935425,0.9477592570968345,0.9341523325678803,1.1180884103352853,2000
19,1.104910135269165,0.08654681593179703,0.12141866981983185,0.8134071826934814,0.9477592570968345,0.9341523325678803,1.1180884103352853,2000
20,1.1851732730865479,0.11080657690763474,0.12220387905836105,0.7915248274803162,0.8854292350172064,0.8765203117683424,1.2380504532144514,2000
21,1.181450366973877,0.13438104093074799,0.12239497154951096,0.7715225219726562,0.8854292350172064,0.8765203117683424,1.2380504532144514,2000
22,1.1744489669799805,0.14858876168727875,0.12191469967365265,0.7560462951660156,0.8854292350172064,0.8765203117683424,1.2380504532144514,2000
23,1.1647436618804932,0.1511257290840149,0.12113747745752335,0.746942937374115,0.8854292350172064,0.8765203117683424,1.2380504532144514,2000
24,1.1554172039031982,0.14419452846050262,0.12061674892902374,0.7447354793548584,0.8854292350172064,0.8765203117683424,1.2380504532144514,2000
25,1.1478074789047241,0.1307702511548996,0.12073129415512085,0.7481086254119873,0.8854292350172064,0.8765203117683424,1.2380504532144514,2000
26,1.1408692598342896,0.11381302028894424,0.12153630703687668,0.7540620565414429,0.8854292350172064,0.8765203117683424,1.2380504532144514,2000
27,1.1336963176727295,0.09776251763105392,0.12282450497150421,0.7588352560997009,0.8854292350172064,0.8765203117683424,1.2380504532144514,2000
28,1.1267949342727661,0.08843116462230682,0.12420261651277542,0.7589587569236755,0.8854292350172064,0.8765203117683424,1.2380504532144514,2000
29,1.1203539371490479,0.08993895351886749,0.12511520087718964,0.7520318627357483,0.8854292350172064,0.8765203117683424,1.2380504532144514,2000
30,1.179157018661499,0.10230623930692673,0.12500214576721191,0.7375198602676392,0.8286970218053838,0.8277359691269734,1.3435670090676428,2000
31,1.1668851375579834,0.1290901154279709,0.12331239879131317,0.712907075881958,0.8286970218053838,0.8277359691269734,1.3435670090676428,2000
32,1.156877875328064,0.1667567491531372,0.12054012715816498,0.6839343309402466,0.8286970218053838,0.8277359691269734,1.3435670090676428,2000
33,1.1517260074615479,0.20628949999809265,0.11761240661144257,0.6575201749801636,0.8286970218053838,0.8277359691269734,1.3435670090676428,2000
34,1.1478955745697021,0.2335178107023239,0.11541104316711426,0.6392313838005066,0.8286970218053838,0.8277359691269734,1.3435670090676428,2000
35,1.1406548023223877,0.23838573694229126,0.1144038736820221,0.6314601302146912,0.8286970218053838,0.8277359691269734,1.3435670090676428,2000
36,1.1302924156188965,0.2228706330060959,0.11457812786102295,0.6332098245620728,0.8286970218053838,0.8277359691269734,1.3435670090676428,2000
37,1.12152099609375,0.19939149916172028,0.11548158526420593,0.6406064033508301,0.8286970218053838,0.8277359691269734,1.3435670090676428,2000
38,1.117051124572754,0.18216493725776672,0.1162508875131607,0.6474307775497437,0.8286970218053838,0.8277359691269734,1.3435670090676428,2000
39,1.1135830879211426,0.17898103594779968,0.11592090874910355,0.6470166444778442,0.8286970218053838,0.8277359691269734,1.3435670090676428,2000
40,1.1412769556045532,0.1912504881620407,0.1140890121459961,0.6359120607376099,0.8067835494183702,0.7813253436666432,1.4118911069149866,2000
41,1.131463885307312,0.2223551869392395,0.11096414923667908,0.6129171848297119,0.8067835494183702,0.7813253436666432,1.4118911069149866,2000
42,1.1247409582138062,0.26623615622520447,0.10762353986501694,0.5849297046661377,0.8067835494183702,0.7813253436666432,1.4118911069149866,2000
43,1.1214864253997803,0.30846452713012695,0.10506129264831543,0.5599123239517212,0.8067835494183702,0.7813253436666432,1.4118911069149866,2000
44,1.1178354024887085,0.333526611328125,0.10379096120595932,0.5437084436416626,0.8067835494183702,0.7813253436666432,1.4118911069149866,2000
45,1.1119270324707031,0.33588770031929016,0.10374971479177475,0.53819739818573,0.8067835494183702,0.7813253436666432,1.4118911069149866,2000
46,1.1057474613189697,0.3229604959487915,0.10434465110301971,0.540878176689148,0.8067835494183702,0.7813253436666432,1.4118911069149866,2000
47,1.1015260219573975,0.30884456634521484,0.10467356443405151,0.5457724332809448,0.8067835494183702,0.7813253436666432,1.4118911069149866,2000
48,1.0985407829284668,0.30532947182655334,0.10402855277061462,0.5460236072540283,0.8067835494183702,0.7813253436666432,1.4118911069149866,2000
49,1.0948951244354248,0.3173063397407532,0.10235723853111267,0.537522554397583,0.8067835494183702,0.7813253436666432,1.4118911069149866,2000
50,1.1055374145507812,0.34280720353126526,0.1002000942826271,0.5209720730781555,0.8327902171697175,0.7343760785611988,1.4328337042690837,2000
51,1.1018588542938232,0.3724730312824249,0.09843427687883377,0.5020674467086792,0.8327902171697175,0.7343760785611988,1.4328337042690837,2000
52,1.0989090204238892,0.3966018557548523,0.09754467010498047,0.4864405393600464,0.8327902171697175,0.7343760785611988,1.4328337042690837,2000
53,1.096067190170288,0.40788689255714417,0.09759008884429932,0.4778748154640198,0.8327902171697175,0.7343760785611988,1.4328337042690837,2000
54,1.0927683115005493,0.4059377610683441,0.09815239161252975,0.4764171838760376,0.8327902171697175,0.7343760785611988,1.4328337042690837,2000
55,1.0894384384155273,0.39787915349006653,0.0985739678144455,0.4785609245300293,0.8327902171697175,0.7343760785611988,1.4328337042690837,2000
56,1.0866270065307617,0.39329761266708374,0.09838175773620605,0.4793601632118225,0.8327902171697175,0.7343760785611988,1.4328337042690837,2000
57,1.0840201377868652,0.3980211019515991,0.09754525125026703,0.4752241373062134,0.8327902171697175,0.7343760785611988,1.4328337042690837,2000
58,1.081095814704895,0.41145411133766174,0.09641354531049728,0.4659557342529297,0.8327902171697175,0.7343760785611988,1.4328337042690837,2000
59,1.0781916379928589,0.42793381214141846,0.09549468010663986,0.45482149720191956,0.8327902171697175,0.7343760785611988,1.4328337042690837,2000
60,1.0909326076507568,0.43955808877944946,0.09520386904478073,0.44648510217666626,0.8838987844802373,0.6900454732915714,1.4260557422281914,2000
61,1.0875818729400635,0.4306797683238983,0.09626840054988861,0.4491233825683594,0.8838987844802373,0.6900454732915714,1.4260557422281914,2000
