epoch,total,loss_f,loss_ic,loss_bc,lambda_f,lambda_ic,lambda_bc,n_f
1,1.4682408571243286,0.5900489687919617,0.14120881259441376,0.736983060836792,1.0,1.0,1.0,2000
2,1.1723711490631104,0.2112617790699005,0.14115704596042633,0.8199522495269775,1.0,1.0,1.0,2000
3,1.245835304260254,0.14276202023029327,0.1509920209646225,0.9520813226699829,1.0,1.0,1.0,2000
4,1.1935263872146606,0.05580664798617363,0.14599211513996124,0.9917276501655579,1.0,1.0,1.0,2000
5,1.1282070875167847,0.007321565877646208,0.1393318772315979,0.9815536141395569,1.0,1.0,1.0,2000
6,1.1168221235275269,0.03875793144106865,0.13421940803527832,0.943844735622406,1.0,1.0,1.0,2000
7,1.1052597761154175,0.0849262997508049,0.12845471501350403,0.8918787240982056,1.0,1.0,1.0,2000
8,1.0871076583862305,0.12237335741519928,0.12233465164899826,0.8423997163772583,1.0,1.0,1.0,2000
9,1.084416151046753,0.15551744401454926,0.11793788522481918,0.8109607696533203,1.0,1.0,1.0,2000
10,1.092743992805481,0.17241176962852478,0.11606821417808533,0.8042640089988708,1.0,1.0,1.0,2000
11,1.0918591022491455,0.1580388993024826,0.11579170823097229,0.818028450012207,1.0,1.0,1.0,2000
12,1.0747523307800293,0.1153821274638176,0.11597906798124313,0.8433911800384521,1.0,1.0,1.0,2000
13,1.0554394721984863,0.06667321175336838,0.11632197350263596,0.8724442720413208,1.0,1.0,1.0,2000
14,1.0517858266830444,0.0365583710372448,0.11697809398174286,0.8982493281364441,1.0,1.0,1.0,2000
15,1.0623559951782227,0.03082239255309105,0.11780352145433426,0.9137300848960876,1.0,1.0,1.0,2000
16,1.067861557006836,0.03556664660573006,0.11822855472564697,0.9140663743019104,1.0,1.0,1.0,2000
17,1.0570183992385864,0.039355479180812836,0.11788512766361237,0.8997778296470642,1.0,1.0,1.0,2000
18,1.0379503965377808,0.04515952244400978,0.11699824780225754,0.8757926225662231,1.0,1.0,1.0,2000
19,1.0256414413452148,0.06088833510875702,0.11611500382423401,0.8486380577087402,1.0,1.0,1.0,2000
20,1.0254179239273071,0.08556987345218658,0.11563114821910858,0.824216902256012,1.0,1.0,1.0,2000
21,1.0292636156082153,0.10720480978488922,0.11558875441551208,0.8064700961112976,1.0,1.0,1.0,2000
22,1.0269808769226074,0.11400120705366135,0.11587532609701157,0.7971043586730957,1.0,1.0,1.0,2000
23,1.0171384811401367,0.10447058081626892,0.11648942530155182,0.7961785197257996,1.0,1.0,1.0,2000
24,1.006232738494873,0.08622878789901733,0.11751338094472885,0.8024905323982239,1.0,1.0,1.0,2000
25,1.0004647970199585,0.06820788234472275,0.11888612806797028,0.8133708238601685,1.0,1.0,1.0,2000
